url,clicks_current,clicks_previous,clicks_variation_%,impressions_current,impressions_previous,impressions_variation_%,ctr_current_%,ctr_previous_%,position_current,position_previous
https://www.legrand.fr/maison-connectee/classe-300eos-with-netatmo-bien-plus-quun-visiophone,10,1,900.0,123,83,48.19,8.13,1.2,20.1,26.2
https://www.legrand.fr/pro/catalogue/kit-box-deportee-pour-reseau-multimedia-avec-2-cordons,10,1,900.0,48,13,269.23,20.83,7.69,6.8,18.8
https://www.legrand.fr/pro/catalogue/bloc-de-jonction-de-passage-a-vis-viking-3-avec-1-jonction-2-entrees-2-sorties-section-4mm2-pas-6mm-gris,8,1,700.0,32,6,433.33,25.0,16.67,19.8,10.3
https://www.legrand.fr/pro/catalogue/borne-connexion-sans-vis-nylbloc-auto-orange-pour-3-fils-avec-intensite-maximum-24a-et-tension-disolement-450v,8,1,700.0,36,11,227.27,22.22,9.09,14.9,8.9
https://www.legrand.fr/pro/catalogue/chartres-origine-hublots-a-lamper,8,1,700.0,22,3,633.33,36.36,33.33,8.9,3
https://www.legrand.fr/pro/catalogue/compteur-denergie-monophase-emdx3-5a-45a-230v-affichage-retroeclaire-1-module-avec-sortie-a-impulsions-certifie-mid,7,1,600.0,30,5,500.0,23.33,20.0,10.1,4.2
https://www.legrand.fr/pro/catalogue/compteur-modulaire-triphase-emdx3-mid-raccordement-direct-125a-6-modules-avec-sortie-a-impulsions-et-rs485,7,1,600.0,42,4,950.0,16.67,25.0,17.7,6.5
https://www.legrand.fr/pro/catalogue/disjoncteur-dx310000-16ka-arrivee-haute-et-depart-bas-a-vis-2p-230v-a-400v-16a-courbe-c-2-modules,7,1,600.0,47,34,38.24,14.89,2.94,19.4,14.2
https://www.legrand.fr/pro/catalogue/poussoir-de-volets-roulants-celiane-pour-commande-directe-de-moteur,7,1,600.0,15,3,400.0,46.67,33.33,2.1,50.7
https://www.legrand.fr/pro/catalogue/prise-tv-r-sat-celiane-etoile-blindee-classe-a-compatible-4g-lte-radio-fm-et-dab,7,1,600.0,56,14,300.0,12.5,7.14,29.6,29.6
https://www.legrand.fr/pro/outils/tutoriels/comment-installer-un-delesteur-connecte-drivia-with-netatmo,7,1,600.0,74,32,131.25,9.46,3.12,13.8,14.9
https://www.legrand.fr/pro/questions-frequentes/comment-poser-un-boitier-saillie-etanche-plexo-multiposte,7,1,600.0,57,49,16.33,12.28,2.04,11.5,15.0
https://www.legrand.fr/mon-projet/je-minspire/piece-par-piece/cuisine/multiplier-les-prises-electriques-du-plan-de-travail-pour-mes-appareils-electromenagers,12,2,500.0,729,695,4.89,1.65,0.29,12.4,13.3
https://www.legrand.fr/catalogue/fiche/fiche-male-avec-terre-plastique-extraction-facilitee-blanc,6,1,500.0,49,31,58.06,12.24,3.23,12.2,7.5
https://www.legrand.fr/mon-projet/je-minspire/piece-par-piece/entree-et-couloir/reperer-mes-interrupteurs-dans-lobscurite,6,1,500.0,54,42,28.57,11.11,2.38,12.4,9.1
https://www.legrand.fr/pro/catalogue/baie-19pouces-lcs3-avec-porte-avant-simple-capacite-42u-2026x800x800mm,6,1,500.0,61,33,84.85,9.84,3.03,11.6,16.7
https://www.legrand.fr/pro/catalogue/cartouche-industrielle-cylindrique-typegg-22x58mm-sans-percuteur-63a,6,1,500.0,39,4,875.0,15.38,25.0,20.6,4
https://www.legrand.fr/pro/catalogue/detecteur-multi-capteurs-dactivites-light-up-mesures-environementales-et-comptage-de-personnes,6,1,500.0,72,68,5.88,8.33,1.47,24.3,32.8
https://www.legrand.fr/pro/catalogue/enrouleur-a-rappel-automatique-avec-socle-mobile-2pt-equipe-dun-bouchon-brochage-domestique-et-10m-de-cable-3g-15mm2,6,1,500.0,92,61,50.82,6.52,1.64,41.7,60.6
https://www.legrand.fr/pro/catalogue/interrupteur-sectionneur-rotatif-complet-saillie-avec-commande-rompue-cadenassable-tripolaire-20a,6,1,500.0,39,8,387.5,15.38,12.5,21.4,23
https://www.legrand.fr/pro/catalogue/plastron-metal-14-tour-pour-appareils-modulaires-dans-xl3400-hauteur-150mm,6,1,500.0,9,3,200.0,66.67,33.33,1.3,3.7
https://www.legrand.fr/pro/catalogue/prise-2-usb-type-c-3a-5v-15w-mosaic-2-modules-230v-blanc,6,1,500.0,15,6,150.0,40.0,16.67,13.5,2.7
https://www.legrand.fr/pro/catalogue/support-vide-pour-borniers-pour-coffret-etanche-plexo3-18-modules-et-xl3125-50-trous-longueur-385mm,6,1,500.0,14,4,250.0,42.86,25.0,4.2,23.8
https://www.legrand.fr/pro/outils/tutoriels/comment-installer-une-prise-de-courant-connectee-celiane-tm-with-netatmo,6,1,500.0,225,178,26.4,2.67,0.56,13.9,12.7
https://www.legrand.fr/catalogue/plaque-de-couleur-et-cadre-saillie/plaque-celiane-laque-noir-1-poste,10,2,400.0,299,223,34.08,3.34,0.9,24.8,30.3
https://www.legrand.fr/catalogue/contacteur-minuterie-parafoudre/interrupteur-pac-unipolaire-neutre-puissance-maxi-4600w,5,1,400.0,25,2,1150.0,20.0,50.0,15.6,4
https://www.legrand.fr/catalogue/interrupteur/interrupteur-ou-va-et-vient-lumineux-plexo-complet-apparent-gris,5,1,400.0,58,90,-35.56,8.62,1.11,14.7,12.7
https://www.legrand.fr/catalogue/moulure-et-plinthe/passage-de-sol-pour-cables-50x12mm-blanc,5,1,400.0,114,35,225.71,4.39,2.86,17.9,9.1
https://www.legrand.fr/catalogue/plaque-de-couleur-et-cadre-saillie/plaque-carree-dooxie-1-poste-finition-plume-mat-avec-bague-plume-brillante-gris,5,1,400.0,94,99,-5.05,5.32,1.01,40.3,37.3
https://www.legrand.fr/catalogue/prise/pack-de-demarrage-chauffage-connecte-celiane-with-netatmo-sortie-de-cable-connectee-prise-control-mobile-titane,5,1,400.0,31,10,210.0,16.13,10.0,22.3,30.9
https://www.legrand.fr/maison-connectee/controlez-et-programmez-vos-appareils-energivores-grace-au-contacteur-connecte-legrand,5,1,400.0,121,81,49.38,4.13,1.23,24.3,22.8
https://www.legrand.fr/maison-connectee/quel-est-le-meilleur-choix-de-chauffage-pour-votre-interieur,5,1,400.0,105,90,16.67,4.76,1.11,51.2,52.0
https://www.legrand.fr/pro/catalogue/boite-de-derivation-200x200x83mm-pour-goulotte-dlp-monobloc-blanc,5,1,400.0,78,77,1.3,6.41,1.3,6.7,6.6
https://www.legrand.fr/pro/catalogue/chemin-de-cables-pvc-perfore-isi-plast-hauteur-100mm-largeur-200mm-et-longueur-3m-finition-gris-ral7030,5,1,400.0,93,60,55.0,5.38,1.67,3.6,3.1
https://www.legrand.fr/pro/catalogue/coffret-distribution-isolant-xl3160-tout-modulaire-2-rangees-48-modules,5,1,400.0,20,7,185.71,25.0,14.29,12.6,7.7
https://www.legrand.fr/pro/catalogue/collier-colring-noir-a-denture-interieure-largeur-46mm-et-longueur-a-plat-280mm,5,1,400.0,45,3,1400.0,11.11,33.33,5,1
https://www.legrand.fr/pro/catalogue/conduit-icta-standard-o16mm-pour-courant-fort-avec-tire-fils-ral7024,5,1,400.0,43,3,1333.33,11.63,33.33,15.1,1
https://www.legrand.fr/pro/catalogue/cordon-de-brassage-et-utilisateurs-rj45-lcs3-categorie-6a-sftp-blinde-impedance-100ohms-longueur-1m-lsoh-ral3020,5,1,400.0,30,14,114.29,16.67,7.14,21,12.6
https://www.legrand.fr/pro/catalogue/corniche-keva-2-compartiments-30x30mm-et-longueur-240m-livree-avec-couvercle-et-4-agrafes-blanc-artic,5,1,400.0,10,6,66.67,50.0,16.67,16.2,9.3
https://www.legrand.fr/pro/catalogue/fiche-mobile-droite-p17-ip6667-125a-380v-a-415v-3pnt,5,1,400.0,8,4,100.0,62.5,25.0,5,3
https://www.legrand.fr/pro/catalogue/hublot-fonctionnel-blanc-antivandale-astreo-led-1400lm-avec-fonction-on-et-off-4000k,5,1,400.0,92,12,666.67,5.43,8.33,19.8,19.9
https://www.legrand.fr/pro/catalogue/interrupteur-a-bascule-2a-250v-a-touche-de-couleur-et-coupure-bipolaire-livre-sous-blister-avec-gencod-noir,5,1,400.0,9,2,350.0,55.56,50.0,4.3,14.5
https://www.legrand.fr/pro/catalogue/interrupteur-differentiel-dx3-id-arrivee-haut-a-vis-et-depart-haut-automatique-4p-400v-40a-typef-30ma-5-modules,5,1,400.0,189,144,31.25,2.65,0.69,33.4,35.6
https://www.legrand.fr/pro/catalogue/interrupteur-sectionneur-rotatif-complet-de-proximite-tripolaire-25a,5,1,400.0,78,45,73.33,6.41,2.22,11.8,15.0
https://www.legrand.fr/pro/catalogue/kit-ventilateur-230v-pour-coffrets-linkeo-19pouces-references-646200-a-646265,5,1,400.0,11,4,175.0,45.45,25.0,6.2,4.2
https://www.legrand.fr/pro/catalogue/module-de-chemins-de-cables-coupe-feu-ez-path-rfg-2-diametre-25mm-et-longueur-413mm,5,1,400.0,24,7,242.86,20.83,14.29,13.4,4.1
https://www.legrand.fr/pro/catalogue/module-electronique-sfera-4-appels-par-boutons-poussoirs,5,1,400.0,9,5,80.0,55.56,20.0,3.2,2
https://www.legrand.fr/pro/catalogue/pack-de-demarrage-celiane-with-netatmo-avec-prise-control-et-commande-generale-departarrivee-noir,5,1,400.0,33,12,175.0,15.15,8.33,14.8,12.8
https://www.legrand.fr/pro/catalogue/plastron-plein-metal-14-tour-pour-coffrets-et-armoires-xl3400-hauteur-50mm,5,1,400.0,7,2,250.0,71.43,50.0,2,8.5
